time,open,high,low,close,Volume,Volume MA
2019-01-01T00:00:00Z,3693.85,3703.25,3683.45,3693.83,94.46685773,NaN
2019-01-01T01:00:00Z,3692.89,3699.35,3676.13,3681.18,101.45681564,NaN
2019-01-01T02:00:00Z,3681.18,3683.55,3665,3678.24,108.18420517,NaN
2019-01-01T03:00:00Z,3680.84,3686.73,3678.12,3681.1,181.35096001,NaN
2019-01-01T04:00:00Z,3681.1,3702.04,3679.63,3679.73,189.39405708,NaN
2019-01-01T05:00:00Z,3683.23,3692.85,3679.63,3689.96,114.51309937,NaN
2019-01-01T06:00:00Z,3690.85,3694.74,3686.11,3691.63,129.36833236,NaN
2019-01-01T07:00:00Z,3689.56,3716.79,3689.56,3700.05,227.35860553,NaN
2019-01-01T08:00:00Z,3700.05,3725.58,3698.83,3715.09,187.62290497,NaN
2019-01-01T09:00:00Z,3714.25,3715.09,3690.78,3696.85,333.83621329,NaN
2019-01-01T10:00:00Z,3698.85,3711.63,3694.75,3705.73,94.23731027,NaN
2019-01-01T11:00:00Z,3706.86,3721.15,3700,3700,483.93511986,NaN
2019-01-01T12:00:00Z,3699.52,3716.21,3694.63,3713.02,181.77801843,NaN
2019-01-01T13:00:00Z,3710.86,3747.68,3705.91,3718.28,147.52078808,NaN
2019-01-01T14:00:00Z,3711.69,3720.07,3670.72,3698.35,248.37794682,NaN
2019-01-01T15:00:00Z,3691.65,3694.44,3668.26,3682.26,103.49169129,NaN
2019-01-01T16:00:00Z,3682.73,3692.53,3674.35,3691.41,76.10015696,NaN
2019-01-01T17:00:00Z,3690.96,3699.53,3675.64,3685.88,191.59039341,NaN
2019-01-01T18:00:00Z,3685.88,3685.88,3629.66,3659.81,378.6288782,NaN
2019-01-01T19:00:00Z,3659.35,3702.47,3659.35,3696.58,118.92468438,184.6068519425
2019-01-01T20:00:00Z,3698.79,3745.25,3696.78,3729.06,378.96967283,198.8319926975
2019-01-01T21:00:00Z,3723.08,3735.38,3713.49,3717.59,249.68128126,206.2432159785
2019-01-01T22:00:00Z,3717.59,3728.34,3703.19,3715.37,233.00033026,212.484022233
2019-01-01T23:00:00Z,3715.37,3845.46,3713.82,3823.44,595.81795409,233.20737193699998
2019-01-02T00:00:00Z,3825.41,3836.89,3788.63,3801.68,235.46004114,235.51067113999997
2019-01-02T01:00:00Z,3802.16,3810.18,3788.62,3795.93,201.37736297,239.85388431999996
2019-01-02T02:00:00Z,3793.73,3803.91,3791,3799.59,86.99058903,237.73499715349993
2019-01-02T03:00:00Z,3800,3813.03,3795.08,3796.62,61.66614949,229.45037435149993
2019-01-02T04:00:00Z,3799.12,3803,3790.84,3797.84,72.35035718,223.68674696199997
2019-01-02T05:00:00Z,3797.58,3803.64,3789.73,3797.97,81.7662956,211.08325107749997
2019-01-02T06:00:00Z,3796.32,3799.5,3770,3779.64,190.7590525,215.90933818899993
2019-01-02T07:00:00Z,3779.64,3800.27,3779.64,3796.89,116.9165978,197.55841208599995
2019-01-02T08:00:00Z,3796.9,3814.7,3790.51,3805.86,331.25952932,205.03248763049996
2019-01-02T09:00:00Z,3804.86,3808,3786.2,3793.93,343.18762112,214.81582928249995
2019-01-02T10:00:00Z,3795.66,3810.18,3785.69,3810.09,158.64216084,210.32903998349994
2019-01-02T11:00:00Z,3798.8,3829.87,3798.8,3810.44,308.9864554,220.6037781889999
2019-01-02T12:00:00Z,3810.43,3815.41,3795,3815.41,152.73792266,224.4356664739999
2019-01-02T13:00:00Z,3815.38,3863.39,3809.16,3839.8,311.52253569,230.4322735879999
2019-01-02T14:00:00Z,3841.51,3845.76,3813.11,3828.55,325.28283609,227.7649714824999
2019-01-02T15:00:00Z,3828.63,3835.35,3809.21,3815.27,239.53510197,233.79549236199992
2019-01-02T16:00:00Z,3815.27,3890,3813.5,3845.92,505.01146068,240.0975817544999
2019-01-02T17:00:00Z,3848.15,3866.64,3836.35,3853.76,183.92580139,236.80980776099992
2019-01-02T18:00:00Z,3853.18,3855.72,3834.61,3850,226.25329381,236.47245593849993
2019-01-02T19:00:00Z,3850,3851.18,3821.42,3849.88,340.67515458,223.7153159629999
