time,open,high,low,close,Volume,Volume MA
2015-12-28T18:30:00Z,2053.76,2056.59,2051.53,2056.52,NaN,NaN
2015-12-29T14:30:00Z,2060.54,2077.41,2060.54,2076.56,NaN,NaN
2015-12-29T18:30:00Z,2076.55,2081.56,2075.94,2078,NaN,NaN
2015-12-30T14:30:00Z,2077.34,2077.34,2069.07,2070.16,NaN,NaN
2015-12-30T18:30:00Z,2070.16,2072.77,2061.97,2063.28,NaN,NaN
2015-12-31T14:30:00Z,2060.59,2062.54,2046.17,2055.75,NaN,NaN
2015-12-31T18:30:00Z,2055.75,2058.94,2043.83,2043.83,NaN,NaN
2016-01-04T14:30:00Z,2038.2,2038.2,1989.68,2002.89,NaN,NaN
2016-01-04T18:30:00Z,2002.87,2013.08,1993.7,2012.94,NaN,NaN
2016-01-05T14:30:00Z,2013.78,2020.9,2004.17,2009.1,NaN,NaN
2016-01-05T18:30:00Z,2009.14,2021.94,2008.86,2016.75,NaN,NaN
2016-01-06T14:30:00Z,2011.71,2011.71,1986.02,1992.19,NaN,NaN
2016-01-06T18:30:00Z,1992.19,1995.39,1979.05,1990.65,NaN,NaN
2016-01-07T14:30:00Z,1985.32,1985.32,1947.75,1950.63,NaN,NaN
2016-01-07T18:30:00Z,1950.63,1953.7,1938.83,1943.25,NaN,NaN
2016-01-08T14:30:00Z,1945.97,1960.4,1932.92,1940.34,NaN,NaN
2016-01-08T18:30:00Z,1940.42,1946.01,1918.46,1921.93,NaN,NaN
2016-01-11T14:30:00Z,1926.12,1935.65,1908.11,1908.23,NaN,NaN
2016-01-11T18:30:00Z,1908.22,1930.12,1901.1,1923.58,NaN,NaN
2016-01-12T14:30:00Z,1927.83,1947.38,1917.31,1920.49,NaN,NaN
2016-01-12T18:30:00Z,1920.48,1942.09,1914.35,1938.92,NaN,NaN
2016-01-13T14:30:00Z,1940.34,1950.33,1914.97,1915.07,NaN,NaN
2016-01-13T18:30:00Z,1915.07,1916.6,1886.41,1890.19,NaN,NaN
2016-01-14T14:30:00Z,1891.68,1925.01,1878.93,1923.92,NaN,NaN
2016-01-14T18:30:00Z,1923.98,1934.47,1919.19,1921.53,NaN,NaN
2016-01-15T14:30:00Z,1916.68,1916.68,1857.83,1869.14,NaN,NaN
2016-01-15T18:30:00Z,1869.14,1885.37,1866.72,1880.16,NaN,NaN
2016-01-19T14:30:00Z,1888.66,1901.44,1881.12,1881.92,NaN,NaN
2016-01-19T18:30:00Z,1881.9,1889.18,1864.6,1881.19,NaN,NaN
2016-01-20T14:30:00Z,1876.18,1876.18,1812.29,1826.52,NaN,NaN
2016-01-20T18:30:00Z,1826.37,1876.15,1825.96,1859.48,NaN,NaN
2016-01-21T14:30:00Z,1861.46,1889.85,1848.98,1874.45,NaN,NaN
