time,open,high,low,close,Volume,Volume MA
2015-12-25T08:00:00Z,97.866,98.017,97.855,97.964,NaN,NaN
2015-12-25T12:00:00Z,97.962,97.973,97.942,97.963,NaN,NaN
2015-12-25T16:00:00Z,97.962,97.969,97.834,97.847,NaN,NaN
2015-12-25T20:00:00Z,97.848,97.848,97.847,97.847,NaN,NaN
2015-12-28T00:00:00Z,97.907,97.957,97.84,97.849,NaN,NaN
2015-12-28T04:00:00Z,97.848,98.027,97.843,97.952,NaN,NaN
2015-12-28T08:00:00Z,97.955,97.979,97.811,97.85,NaN,NaN
2015-12-28T12:00:00Z,97.851,98.032,97.822,97.92,NaN,NaN
2015-12-28T16:00:00Z,97.928,97.974,97.826,97.919,NaN,NaN
2015-12-28T20:00:00Z,97.934,97.998,97.911,97.946,NaN,NaN
2015-12-29T00:00:00Z,97.898,97.903,97.847,97.86,NaN,NaN
2015-12-29T04:00:00Z,97.858,97.984,97.847,97.889,NaN,NaN
2015-12-29T08:00:00Z,97.89,98.047,97.799,98.025,NaN,NaN
2015-12-29T12:00:00Z,98.035,98.376,97.985,98.364,NaN,NaN
2015-12-29T16:00:00Z,98.368,98.413,98.098,98.101,NaN,NaN
2015-12-29T20:00:00Z,98.102,98.281,98.101,98.24,NaN,NaN
2015-12-30T00:00:00Z,98.202,98.29,98.171,98.197,NaN,NaN
2015-12-30T04:00:00Z,98.206,98.212,98.114,98.178,NaN,NaN
2015-12-30T08:00:00Z,98.177,98.316,98.113,98.278,NaN,NaN
2015-12-30T12:00:00Z,98.277,98.402,98.18,98.338,NaN,NaN
2015-12-30T16:00:00Z,98.35,98.409,98.266,98.266,NaN,NaN
2015-12-30T20:00:00Z,98.284,98.309,98.182,98.263,NaN,NaN
2015-12-31T00:00:00Z,98.211,98.287,98.178,98.211,NaN,NaN
2015-12-31T04:00:00Z,98.219,98.272,98.189,98.224,NaN,NaN
2015-12-31T08:00:00Z,98.223,98.468,98.193,98.458,NaN,NaN
